Title,Location,Company,Salary,Sponsored,Description
Senior Software Engineer,Islamabad,Teradata,None,Sponsored,"Requisition Number: 206198 Position Title: Analytics Consulting III External Description: Job DescriptionPositionApplication Architect/Senior Software EngineerLocation IslamabadEducationBachelors in CS (Masters would be a plus)ExperienceExperience:Key SkillsKey skills:TechnologiesTechnologies: Roles and ResponsibilitiesRoles and Responsibilities: CountryEEOText_Description: City: Islamabad State: Islamabad Community / Marketing Title: Senior Software Engineer Job Category: Consulting Company Profile: With all the investments made in analytics, it’s time to stop buying into partial solutions that overpromise and underdeliver. It’s time to invest in answers. Only Teradata leverages all of the data, all of the time, so that customers can analyze anything, deploy anywhere, and deliver analytics that matter most to them. And we do it at scale, on-premises, in the Cloud, or anywhere in between. We call this Pervasive Data Intelligence. It’s the answer to the complexity, cost, and inadequacy of today’s analytics. And it's the way Teradata transforms how businesses work and people live through the power of data throughout the world. Join us and help create the era of Pervasive Data Intelligence. Location_formattedLocationLong: Islamabad, Islamabad PK"
Software Engineer,Islamabad,InfoMatrix,None,Organic,"Software Engineer
Software Engineer Job Description.
We are looking for a Software Engineer who, along with our excellent software development team, will be responsible for working software development projects.
Should have a bachelor's degree in computer science or software engineering,
Software Engineer Requirements:
A bachelor's degree in computer science or software engineering.
Hands-on programming experience using relevant languages.
Experience using relevant tool suites.
Strong written and verbal communication and interpersonal skills.
Experience managing the software development lifecycle.
The ability to prioritize activities and deliver projects on time
A comprehensive understanding of computer science concepts.
Excellent coding skills.
Strong team building skills.



Apply Now at Mustakbil.com

This job was originally posted on Mustakbil.com"
Software Engineer .NET,Islamabad,TauMobility,None,Organic,"Job ID: 1106228
Job Title: Software Engineer .NET
Number of Openings: 1
Location: Islamabad
Employment Start Date: Open

Required Skills
Well-versed with object-oriented programming, .NET and .NET Framework 4.0.
Possess solid web development skills and hands-on experience with HTML, CSS, JavaScript, jQuery, and AJAX.
Strong knowledge and experience in developing database applications using Microsoft SQL Server 2008.
Proficient with Visual Studio 2010 and source control software.

Soft Skills:
Understanding of end-to-end project cycle.
Strong verbal and written communication skills.
Superior organizational and multi-tasking skills.
Ability to work well under pressure and meet tight deadlines effectively.
Ability to take initiative and be proactive, work independently, and also be a good team player.
High level of analytical ability and accuracy.

Personal Attributes:
Strong analytical and documentation skills.
Excellent team and interpersonal skills.
Excellent communication skills (both verbal and written).
A positive thinker with a strong desire to succeed.
Demonstrate the ability to be self-motivated, conscientious, persistent, and able to work independently or with teams, under deadline pressure on multiple projects at a very high level of accuracy and attention to detail.
High standards of ethics and confidentiality to handle sensitive information.
Highly motivated, high energy and enjoys working in a fun environment.
Computer literacy in Microsoft Office (Word, Excel and PowerPoint) and Outlook is a must."
Software Engineer,Islamabad,Technology Junction,None,Organic,"Gender: Any
Position Type: Full Time
Timings: 9:00am - 05:30pm (Mon-Fri)
Package: 25K - 45K (Based on experience & expertise)

Apply Now at Mustakbil.com

This job was originally posted on Mustakbil.com"
Software Engineer,Islamabad,MSPL,"Rs 90,000 - Rs 100,000 a month",Organic,"Strong English Communication skills.
Strong development skills in .Net technologies, MVC, Web forms etc.
Experience with Entity framework and LINQ.
Experience on TSQL - MS SQL Server.
Experience in SOA (Service Oriented Architecture) like REST, SOAP types of web services and API.
Hands on experience in object oriented programming, database programming, algorithms, and data structures.
Undertake the design, coding, and debugging skills is a must have.
Must have clear understanding of Product Development Life Cycle.
Minimum Education: BSCS
Experience : 3 to 5 Years.
Gender: Male
Timing: Evening Shift (1700 - 0200)
Job Type: Full-time
Salary: Rs90,000.00 to Rs100,000.00 /month
Experience:
Software Development: 3 years (Preferred)
Education:
Bachelor's (Preferred)
Location:
Islamabad (Preferred)
Language:
English (Preferred)"
Software Support Engineer,Rawalpindi,MTBC,None,Organic,"Job Profile:
TROUBLESHOOTING, IDENTIFYING SOLUTION FOR QUICK RESOLUTION,TEAM PLAYER,QUICK LEARNER, debugging Skills
Skill(s):
TROUBLESHOOTING
Identifying SOLUTION FOR QUICK RESOLUTION
TEAM PLAYER
QUICK LEARNER
Tool(s):
Visual studio
sql server
Programming Language(s):
ANGULAR
C#
SQL
OOP

Additional Information
Total Position(s):
4
Gender:
Does not matter
Minimum Education:
Bachelors Degree
Degree Title
Bachelors Degree
Job Type:
Full Time/Permanent
Shift:
Rotating
Location:
Rawalpindi
Apply by:
February 12, 2020"
Software Development Engineer in Testing,Islamabad,S&P Global,None,Organic,"Software Development Engineer in Testing


The Location: Islamabad


The Team:
The Quality Engineering team works in partnership with other Technology Functions and the Business to ensure quality delivery of our products. The team works in an Agile environment and is located globally. The team is independent in driving all decisions and is responsible for continuously improving customer experience, revenue growth and operations enablement through quick turn-around of development of our products with high quality.


The Impact:
As an SDET II, you will make a significant contribution in building solutions to test applications across Web/Windows/Mobile/API/Services platforms and framing efficient data comparison methods. Your challenge will be reducing the “time to market” for products without compromising quality, by using automation and innovation. You will use a wide range of technologies and have the opportunity to interact with different internal teams.


What’s in it for you:
Working with a team of highly skilled, ambitious and driven for results professionals.
Using a wide range of cutting-edge technology to innovate while testing.
An ever-challenging environment to hone your existing skills in Automation, Performance, service layer testing, SQL scripting etc.
A great opportunity to think and execute like a developer while performing the role of QA.
Being a part of an organization which values ‘Culture of Urgency’ and ‘Shift Left’ approaches.
A plenty of skill building, dissemination of knowledge, and innovation opportunities.
Building a fulfilling career with a global financial technology company.


Responsibilities:
Develop automation/performance scripts that meet organization standards and build reliable, reusable and maintainable automated regression suites & test harness
Use tools and frameworks to build automation/performance scripts with quality code to simplify testing scenarios
Design and develop test plans, test cases based upon functional and design specifications, execute test cases and analyze and report test results to the teams
Work in partnership with the development teams to deliver business functionality on time with required quality that meets the acceptance criteria
Focus on building efficient solutions for Web, Services/APIs, Database, mobile testing requirements.
Participate in internal/cross team meetings, project scoping, functional reviews, test specifications, technical reviews for assigned projects in an Agile environment
Participate actively in functional, system and regression testing activities
Gather quality assurance data and metrics to provide insights and conclusions
Estimate and perform risk analysis for quality delivery


What We’re Looking For:
1-4 years of experience in software testing or development with deep understanding of testing, coding and debugging procedures
Experience in programming using Python/C#/Java or other languages
Experience in design and development of automated tests using automation tools (e.g. Selenium, Appium) with exposure in testing across the application layers (UI/Service/Data layers/Mobile)
Experience in advising team to identify automatable test cases at different layers (UI, Services and Data layer tests).
Ability to working with developers to build automation/performance friendly code is a plus.
Experience in refactoring test automation/performance suites is necessary
Experience working with SOAP and REST service and understanding of SOA architecture
Experience of SQL/PL-SQL, writing SQL queries, stored procedures and RDBMS
Exposure to Behavior Driven Development (BDD) practices and experience in Agile methodology is highly desirable
Exposure to testing in CI, DevOps, rolling deployment/upgrade model is highly desirable
Experience in developing Test Plans and Test Cases, engage in Exploratory Testing, creating and maintaining Defect Reports
Experience in performance testing tools like HP LoadRunner/Performance Center/StormRunner, JMeter.
Demonstrate ability to explain complex technical issues to both technical and non-technical audiences
Strong communication skills and ability to produce clear, concise and detailed documentation
Excellent problem solving, analytical and technical troubleshooting skills
Bachelor's or higher qualification in Computer Science, Information Systems or equivalent is preferred"
Computer Vision Engineer,Islamabad,PackageX,None,Organic,"VisionX is a digital product company and a mindset obsessed with customer success. Acting as a strategic innovation partner, we help our clients (a) think through their digital and innovation roadmap, (b) build tailored digital products and solutions powered by emerging technologies stack, and (c) develop our Software-as-a-Service (SaaS) solutions.
Our customers are world-leading brands and enterprises, including Fortune 500 and strategic startups. VisionX products and SaaS solutions continue to help its customer (a) achieve fast track business growth, (b) gain competitive advantage, (c) constantly innovate to stay relevant, and (d) accelerate product development and feature delivery for their end customers.
PackageX is an AI-powered SaaS product of VisionX (now a standalone entity) that enables the future of delivery management for residential and commercial buildings – mail, packages, and inventory. Our product is deployed in 30 countries and 118 cities.
Our Team & Your role

We hire the best, invest in them, push them outside their comfort zones to help realize their real potential to serve our clients, our company, and most importantly understand life, to value each moment and the people they interact with. Joining us might be easy but staying at VisionX is harder.
We are headquartered in New York City with our teams geographically located and our delivery powerhouse in Islamabad, Pakistan.
As, a Computer Vision Engineer you would help us to create and improve our products. You would need exceptional skills in programming and also have knowledge of data science and software engineering. You are always on a lookout to unlock and maximize your real potential. You dream big, hustle, take risks, and never quit.
Proactive, Leadership capabilities, Team player, Positive attitude with high level of emotional intelligence towards work and life, take and implement feedback, creative problem-solving skills, customer obsession, love & live Innovation, startup mindset, strive for excellence.

Development and optimization of state-of-the-art deep learning models using deep Learning frameworks, covering computer vision, object detection and localization.
Work with framework software developers to facilitate end-to-end optimization.
Distribute the model training and inference into multi-node systems, allowing scalable optimization and performance.
Design and enable next generation deep learning systems.
Perform Data Cleansing Data preparation through Digital Image Processing.
Will work on change detection algorithms (background subtraction etc)
Documentation and formulation of report and work progress to management and clients.
Articulate the model performance and evaluation / results through ROC curves and evaluation matrix.
Meet the coding style and standards requirements in python Pep 8, Flake 8 etc.
Follow the Agile methodology (Sprints) and daily stand-ups.
What You Need
Master’s or BS in Computer Science, Electrical Engineering or any related fields (Statistics, Applied Math, or Computational Neuroscience)
2+ years of experience in the following area: Background in DL, ML algorithms and model development.
Experience designing and developing professional software using Python, C++.
Fluency and experience in python, OpenCV, Numpy, Pandas.
Familiarity and proficiency with DL, ML frameworks (eg. TensorFlow, Keras, AWS Sagemaker) is highly required.
Experience in 3D computer vision and video analytics algorithms, such as image segmentation,3d reconstruction, object and motion detection, tracking and classification.
Two year of experience in machine learning algorithms for vision problem
Our Values:
Our values are the foundation of our X-Culture. To be successful in your day to day tasks we believe in customer centricity, excellence in what we do, taking ownership, bringing spark & innovation, and teamwork.
Why Choose Us
We live and breathe cutting-edge technology. We operate within the Fortune 500 and tech startups and ecosystem. We believe in delivering customer value through our work. We build products that are not good or great, but outstanding. We help build your startup if you are an aspiring entrepreneur. Our global network of industry experts and mentors helps shape our growth and future. Our leadership team has extensive technology, retail, and consulting experience with world-renowned brands. We have got all it takes to build an enterprise of the future.
You deliver! We will make your stay and journey with us worthwhile.
We are an equal opportunity employer, and we value diversity. We do not discriminate based on race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability status, or any other legally protected status."
Senior Software QA Engineer,Islamabad,Pixako Technologies (Pvt.) Ltd,"Rs 70,000 - Rs 90,000 a month",Organic,"We are looking for a Senior Software QA Engineer who becomes the key part of the QA team. He or She should be able to take ownership of E2E testing. Must-Have the capacity to fill in as a major aspect of a little, exceptionally energetic, utilizing Agile Testing Methodologies. Be able to take initiative for the team members
Functional Area:
Quality Assurance, Quality Control, Project Management, Requirement Analysis, Web End Testing, Mobile Apps Testing, Business scenarios understanding
Job Responsibilities
· Meeting with the software/product designers and business analysts to determine quality assurance parameters.
· Leading the QA team in designing QA test procedures.
· Overseeing the drafting of testing documents.
· Implementing testing procedures and overseeing the QA process.
· Troubleshooting quality issues and modifying test procedures.
· Conducting analysis checks on product specifications.
· Reviewing Quality Assurance reports.
· Knowledge and experience of testing web-based applications and mobile apps using testing tools and technologies.
· Knowledge and experience of using test management tools in an agile development environment like Jira.
· QA certification will be a plus.
· An inquisitive mind with attention to detail.
· Knowledge and experience of manual and automated testing.
· Deep Understanding of business-specific scenarios based testing.
Creating detailed, comprehensive and well-structured test plans and test cases.
API’s (Restful) using SOAP UI, Postman, Storm
Find, record, track bugs, and perform thorough documentation
ELIGIBILITY CRIETRIA:
Gender: Male
Qualification: BS(CS/IT/SE)
Experience: 4-5 Years
KNOWLEDGE, SKILLS AND ABILITIES:
· Writing test cases, test scenarios
· Knowledge of automated testing tools like selenium
· Excellent grip on bug tracking tools like Jira
· Database Knowledge (Mysql/SQL)
· Team building & coordination
· Excellent written and verbal communication skills
· Critical Thinking
· Must able to coordinate and collaborate with team
Job Type: Full-time
Salary: Rs70,000.00 to Rs90,000.00 /month
Experience:
Professional: 3 years (Required)"
Software Engineer / Sr. Software Engineer / Sr. Developer,Rawalpindi,MTBC,None,Organic,"Job Profile:
Writing efficient code • Having sound knowledge of SQL queries, Researching different software programs, maintaining software documentation
Skill(s):
C#
SQL
HTML
OOPS
ANGULAR
Tool(s):
VISUAL STUDIO
SQL SERVER
Programming Language(s):
ANGULAR, C#, SQL, HTML, SELINIUM

Additional Information
Total Position(s):
3
Gender:
Does not matter
Minimum Education:
Bachelors Degree
Degree Title
Bachelors Degree
Job Type:
Full Time/Permanent
Shift:
Rotating
Location:
Rawalpindi
Apply by:
February 16, 2020"
Software Engineer (ASP .NET MVC / Core),Islamabad,Evolved Systems (Private) Limited,None,Organic,"Evolved Systems (Private) Limited is a startup involved in designing and development of cloud-based ERP for SMEs in Pakistan. The organization is currently looking to take onboard a young & dynamic Software Engineer (.NET) who could add value to the existing team. This is a challenging role with lots of learning opportunities and room to grow. Selected candidate will be working alongside experienced professionals on highly sophisticated applications. Evolved Systems offers congenial working environment and a promising career progression.
PS: For right candidates - part-time option with flexible timing can also be considered. Please mention in your application if you want to avail this option.
Main Responsibilities:
Design, code, and develop complex software systems.
Assist Lead Technical Ops throughout different phases of PDLC.
Code Testing when required and assigned.
Be part of the continuous improvement initiatives.
Ensure that proper documentation of particular development cycles is maintained.
Work against definite deadlines for deliverables.



Apply Now at Mustakbil.com

This job was originally posted on Mustakbil.com"
Senior Software Engineer,Islamabad,Teradata,None,Sponsored,"Requisition Number: 206198 Position Title: Analytics Consulting III External Description: Job DescriptionPositionApplication Architect/Senior Software EngineerLocation IslamabadEducationBachelors in CS (Masters would be a plus)ExperienceExperience:Key SkillsKey skills:TechnologiesTechnologies: Roles and ResponsibilitiesRoles and Responsibilities: CountryEEOText_Description: City: Islamabad State: Islamabad Community / Marketing Title: Senior Software Engineer Job Category: Consulting Company Profile: With all the investments made in analytics, it’s time to stop buying into partial solutions that overpromise and underdeliver. It’s time to invest in answers. Only Teradata leverages all of the data, all of the time, so that customers can analyze anything, deploy anywhere, and deliver analytics that matter most to them. And we do it at scale, on-premises, in the Cloud, or anywhere in between. We call this Pervasive Data Intelligence. It’s the answer to the complexity, cost, and inadequacy of today’s analytics. And it's the way Teradata transforms how businesses work and people live through the power of data throughout the world. Join us and help create the era of Pervasive Data Intelligence. Location_formattedLocationLong: Islamabad, Islamabad PK"
Software Engineer,Islamabad,Teradata,None,Sponsored,"Requisition Number: 206273 Position Title: Analytics Consulting II External Description: Teradata GDC Pakistan is seeking JAVA/J2EE with Angular 6-7 professional.In the role of software engineering, you will interface with key stakeholders and apply your technical proficiency across different stages of the Software Development Life Cycle including Requirements Elicitation, Application Architecture definition and Design. You will play an important role in creating the high-level design artifacts. You will also deliver high quality code deliverables for modules, visualizations and driving team for all types of testing and support activities related to implementation, transition and warranty. You will be part of a learning culture, where teamwork and collaboration are encouraged, excellence is rewarded, and diversity is respected and valued.Location for this position is Islamabad, Pakistan. This position may require travel and / or relocation. Responsibilities Requirements Desirable Personal skills CountryEEOText_Description: City: Islamabad State: Islamabad Community / Marketing Title: Software Engineer Job Category: Consulting Company Profile: With all the investments made in analytics, it’s time to stop buying into partial solutions that overpromise and underdeliver. It’s time to invest in answers. Only Teradata leverages all of the data, all of the time, so that customers can analyze anything, deploy anywhere, and deliver analytics that matter most to them. And we do it at scale, on-premises, in the Cloud, or anywhere in between. We call this Pervasive Data Intelligence. It’s the answer to the complexity, cost, and inadequacy of today’s analytics. And it's the way Teradata transforms how businesses work and people live through the power of data throughout the world. Join us and help create the era of Pervasive Data Intelligence. Location_formattedLocationLong: Islamabad, Islamabad PK"
Software Engineer,Islamabad,FAST NU,None,Organic,"Produce top quality code, by strictly following industry best practices and coding.
Resolve complex design problems.
Minimize errors, fix reported issues ensuring the ripples are analyzed and handled properly.
Execute white box testing and regression tests for components and optimize the runtime behavior of your project actively.
Ensure timely completion of planned tasks with high quality output and enthusiastic approach.
Design and implement testability elements.
Provide technical guidance to junior team members.
Maintain highest level of professionalism, efficiency, teamwork, enthusiasm, discipline, mutual respect and integrity.



Apply Now at Mustakbil.com

This job was originally posted on Mustakbil.com"
Software Engineer / Sr. Software Engineer / Sr. Developer,Rawalpindi,MTBC,None,Organic,"Job Profile:
Writing efficient code • Having sound knowledge of SQL queries, Researching different software programs, maintaining software documentation
Skill(s):
C#
SQL
HTML
OOPS
ANGULAR
Tool(s):
VISUAL STUDIO
SQL SERVER
Programming Language(s):
ANGULAR, C#, SQL, HTML, SELINIUM

Additional Information
Total Position(s):
3
Gender:
Does not matter
Minimum Education:
Bachelors Degree
Degree Title
Bachelors Degree
Job Type:
Full Time/Permanent
Shift:
Rotating
Location:
Rawalpindi
Apply by:
February 16, 2020"
Software Engineer,Islamabad,Interactive WIngs,None,Organic,"We are looking for young talented, willing to learn the latest technologies and have a basic to good hands on experience in the technologies available out there.

The best candidate would be the one, who knows Web development platforms, and good with building basic logics on paper using any language of your choice.

Apply Now at Mustakbil.com

This job was originally posted on Mustakbil.com"
"Sr. Software Engineer, Website",Islamabad,Stafona,None,Organic,"This is a fulltime position for a Sr. Software Engineer to anchor and lead Stafona's Pakistan development team.
Responsibilities:
Develop tools, libraries and methodologies to accelerate development and support and backend infrastructure
Develop server side components for web applications in Java
Assist, mentor, and lead other engineers in best practices, tools and techniques
Requirements:
BS in Computer Science or related field, MS preferred
3+ years software design & development experience
Excellent HTML, AJAX, Javascript, JSP development skills
Smart, motivated, self starter, with leadership potential
Bonus:
Proficiency in Javascript, AJAX
Fluency in at least one scripting language: Python, Ruby, Bash, etc.
Experience with UNIX/Linux system administration"
SQA Engineer,Islamabad,Progosoft,None,Organic,"We are looking for an experienced SQA Engineer with at least 3 years of experience in manual and automation testing using latest web industry standards. You must have strong analytical skills to analyse the business requirements and good command to produce manual and automated test cases and to do UI and API testing.
Your responsibilities:
Review requirement specifications and technical design documents to provide timely and meaningful feedback.
Analyse Business Requirements, design, tests and deliver quality software products in a complex environment.
Ensure the highest level of continuous testing improvements through process analysis and automation and establishing quality standards.
Must have mobile apps testing experience.
Supports the DEV/OPS processes and activities.
Identify areas for improvement and drive change through to completion.
Actively participate in a self-organized Scrum team where team members work together to discuss who does what.
Create detailed manual and automation test cases. Experience in UI, Back-end and API testing.
Support Production Implementation tasks and post Production deployment validations/verifications.
Generate Execution Reports and clearly communicate. status/risks/concerns to management.
Should be Self-starter, able to work in fast paced agile development environment.
Have a positive approach towards work and fellow team members.
Must be very good in usability testing experience.
Require Skills:
BS/MS degree in Computer Science, Engineering or a related subject
Security Testing skills (all latest industry standards to be included)
Penetration Testing skills
Automation testing
Mobile Automation
Write Test Cases
Database Testing | White Box
Hands-on on Selenium and other testing and reporting tools"
Software Quality Assurance Analyst/Engineer,Islamabad,Sigma Digital Solutions,None,Organic,"Ideal candidate should have a degree in Computer Science/Computer Engineering/software engineering with good analytical abilities and knowledge of quality standards for software development. The successful candidates will work along-side our existing team who are responsible for the testing and QA of Websites and other Web based Services and applications

Validate that user expectations are achieved during the testing process. Review user requirements documents to ensure that requirements are testable.

Apply Now at Mustakbil.com

This job was originally posted on Mustakbil.com"
SQA Engineer,Islamabad,High Rank Technologies Pvt. Ltd.,None,Organic,"Major responsibilities
✓ Manual and Automation Testing of Mobile and Web-based Applications.
✓ Create and execute Test Cases and Test Scenarios.
✓ Pro-efficient in Testing on Cross Web browser.
✓ Automation Testing Using Selenium Web driver in JAVA.
✓ Web Performance & Load testing.
✓ Followed in Page Object Model Design Pattern for writing test cases in TestNg
✓ Performing Black & Gray box Testing.
✓ Create and execute Software Test plans, Test cases, Selenium scripts to uncover, identify and document Software defects and finding their causes.
✓ Documents Software defects using JIRA bug Management tool and reported Program functionality, results, screen to Software developers.
Job Type: Full-time
Experience:
Quality Assurance: 3 years (Preferred)"
Software Engineer,Rawalpindi,BLS Solutions,None,Organic,"We are looking for talented and energetic Laravel/WordPress/ PHP developer to join our team of IT experts.
Job Description.
Strong knowledge of PHP web frameworks (Laravel).
Sound knowledge of theme and plugin development in WordPress
Custom post type and page template in WordPress
Knowledge about website migration
Strong knowledge of PHP.
Expert in HTML, CSS, JavaScript/jQuery
Understanding of MVC design patterns.
Should possess excellent communication and interpersonal skills
Thorough understanding of OOP, Bootstrap, JQuery/JavaScript, CSS, HTML5
Good knowledge of developing Web services, REST API's
Working with the APIs (like Google Maps, Graph API, Twitter, PayPal, Facebook).
Outstanding DB skills and concepts. Strong Team and Communication Skills.
Strong Familiarity with Proper Coding Practices.
Attention to Detail and Reliable Development History.
Good Understanding of open source projects like WordPress, OpenCart, Magneto, Woo Commerce etc. is plus
Proficient understanding of code version tools, such as Git, Team server.
Ability to write XML / Web Services / Restful Services
Experience in common payment gateways (PayPal etc.)
Must be a team player and should also be able to work individually
Creative and efficient problem solver
Must meet deadlines



Apply Now at Mustakbil.com

This job was originally posted on Mustakbil.com"
Sr. Software Engineer (.Net / Angular) - Islamabad,Islamabad,Ark IT Services,None,Organic,"Job Description
We are looking for a Software Engineer to join our growing Engineering team and build out the next generation of our platform. The ideal candidate is a hands-on platform builder with significant experience in developing scalable data platforms. We’re looking for someone with experience in business intelligence, analytics, data science and data products. They must have strong, firsthand technical expertise in a variety of configuration management and big data technologies and the proven ability to fashion robust scalable solutions that can manage large data sets. They must be at ease working in an agile environment with little supervision. This person should embody a passion for continuous improvement and test-driven development
Job Responsibilities
Develop cloud applications using C#/.NETCore, Docker, etc.
Design and development of database models (Cloud based Microsoft SQL Server)
Setup API Integrations with various 3rd parties that streamline transactions
Support and maintain existing systems (C# .Net Framework/.NetCore)
Implement automated dev-ops deployments with CI/CD best practices
Provide adequate test coverage include unit and automated tests
Ability to consistently produce high-quality deliverables on time
Agile story development and progression with technical and business stakeholders
Team orientation but ability to deliver independently with good communication skills
Job Requirements
.NET Core, NET Framework 4.6+, IIS 7.5+, Azure DevOps/Git, SQL Server, Entity Framwork/LINQ
Proficient in C# programming language(with 5+ years)
Identity Servers, Security, OAuth 2.0
Strong database concept, coding with experience in relational database preferably SQL Server 2014
Expertise in in WEB API (REST services) and Web Services
Strong understanding of a microservice architecture
Strong understanding of REST principles
Strong skills in Javascript, Angular
Knowledge of Accounting will be preferred
Benefits
Competitive Market Salary Package
Influence in business decisions based on technical recommendations
Performance based Rewards
Paid Sick Leaves
Latest Technologies
Friendly and Learning Environment
Job Type: Full-time
Salary: Rs100,000.00 to Rs150,000.00 /month
Experience:
Software Engineering: 4 years (Preferred)"
Software Quality Assurance Engineer,Islamabad,Xcelliti Pvt Ltd,None,Organic,"The Role require following attributes:
Hands-On experience with Software development and Software Testing.
Sound knowledge of IIS Servers and Linux operating systems.
Knowledge of Test Automation tools and Techniques
SQL query writing and Scripting skills.
Prior experience with working on Webservices,Postman and APIs.
Excellent communication skills.
Must have 2-3 years of experience
Job Types: Full-time, Contract
Experience:
Quality Assurance: 3 years (Required)
Education:
Bachelor's (Preferred)
Location:
Islamabad (Required)"
Senior Software Engineer,Islamabad,Teradata,None,Sponsored,"Requisition Number: 206198 Position Title: Analytics Consulting III External Description: Job DescriptionPositionApplication Architect/Senior Software EngineerLocation IslamabadEducationBachelors in CS (Masters would be a plus)ExperienceExperience:Key SkillsKey skills:TechnologiesTechnologies: Roles and ResponsibilitiesRoles and Responsibilities: CountryEEOText_Description: City: Islamabad State: Islamabad Community / Marketing Title: Senior Software Engineer Job Category: Consulting Company Profile: With all the investments made in analytics, it’s time to stop buying into partial solutions that overpromise and underdeliver. It’s time to invest in answers. Only Teradata leverages all of the data, all of the time, so that customers can analyze anything, deploy anywhere, and deliver analytics that matter most to them. And we do it at scale, on-premises, in the Cloud, or anywhere in between. We call this Pervasive Data Intelligence. It’s the answer to the complexity, cost, and inadequacy of today’s analytics. And it's the way Teradata transforms how businesses work and people live through the power of data throughout the world. Join us and help create the era of Pervasive Data Intelligence. Location_formattedLocationLong: Islamabad, Islamabad PK"
Software Engineer,Islamabad,Teradata,None,Sponsored,"Requisition Number: 206273 Position Title: Analytics Consulting II External Description: Teradata GDC Pakistan is seeking JAVA/J2EE with Angular 6-7 professional.In the role of software engineering, you will interface with key stakeholders and apply your technical proficiency across different stages of the Software Development Life Cycle including Requirements Elicitation, Application Architecture definition and Design. You will play an important role in creating the high-level design artifacts. You will also deliver high quality code deliverables for modules, visualizations and driving team for all types of testing and support activities related to implementation, transition and warranty. You will be part of a learning culture, where teamwork and collaboration are encouraged, excellence is rewarded, and diversity is respected and valued.Location for this position is Islamabad, Pakistan. This position may require travel and / or relocation. Responsibilities Requirements Desirable Personal skills CountryEEOText_Description: City: Islamabad State: Islamabad Community / Marketing Title: Software Engineer Job Category: Consulting Company Profile: With all the investments made in analytics, it’s time to stop buying into partial solutions that overpromise and underdeliver. It’s time to invest in answers. Only Teradata leverages all of the data, all of the time, so that customers can analyze anything, deploy anywhere, and deliver analytics that matter most to them. And we do it at scale, on-premises, in the Cloud, or anywhere in between. We call this Pervasive Data Intelligence. It’s the answer to the complexity, cost, and inadequacy of today’s analytics. And it's the way Teradata transforms how businesses work and people live through the power of data throughout the world. Join us and help create the era of Pervasive Data Intelligence. Location_formattedLocationLong: Islamabad, Islamabad PK"
Software Engineer,Islamabad,Teradata,None,Sponsored,"Requisition Number: 206273 Position Title: Analytics Consulting II External Description: Teradata GDC Pakistan is seeking JAVA/J2EE with Angular 6-7 professional.In the role of software engineering, you will interface with key stakeholders and apply your technical proficiency across different stages of the Software Development Life Cycle including Requirements Elicitation, Application Architecture definition and Design. You will play an important role in creating the high-level design artifacts. You will also deliver high quality code deliverables for modules, visualizations and driving team for all types of testing and support activities related to implementation, transition and warranty. You will be part of a learning culture, where teamwork and collaboration are encouraged, excellence is rewarded, and diversity is respected and valued.Location for this position is Islamabad, Pakistan. This position may require travel and / or relocation. Responsibilities Requirements Desirable Personal skills CountryEEOText_Description: City: Islamabad State: Islamabad Community / Marketing Title: Software Engineer Job Category: Consulting Company Profile: With all the investments made in analytics, it’s time to stop buying into partial solutions that overpromise and underdeliver. It’s time to invest in answers. Only Teradata leverages all of the data, all of the time, so that customers can analyze anything, deploy anywhere, and deliver analytics that matter most to them. And we do it at scale, on-premises, in the Cloud, or anywhere in between. We call this Pervasive Data Intelligence. It’s the answer to the complexity, cost, and inadequacy of today’s analytics. And it's the way Teradata transforms how businesses work and people live through the power of data throughout the world. Join us and help create the era of Pervasive Data Intelligence. Location_formattedLocationLong: Islamabad, Islamabad PK"
Senior Software Engineer,Islamabad,Teradata,None,Sponsored,"Requisition Number: 206198 Position Title: Analytics Consulting III External Description: Job DescriptionPositionApplication Architect/Senior Software EngineerLocation IslamabadEducationBachelors in CS (Masters would be a plus)ExperienceExperience:Key SkillsKey skills:TechnologiesTechnologies: Roles and ResponsibilitiesRoles and Responsibilities: CountryEEOText_Description: City: Islamabad State: Islamabad Community / Marketing Title: Senior Software Engineer Job Category: Consulting Company Profile: With all the investments made in analytics, it’s time to stop buying into partial solutions that overpromise and underdeliver. It’s time to invest in answers. Only Teradata leverages all of the data, all of the time, so that customers can analyze anything, deploy anywhere, and deliver analytics that matter most to them. And we do it at scale, on-premises, in the Cloud, or anywhere in between. We call this Pervasive Data Intelligence. It’s the answer to the complexity, cost, and inadequacy of today’s analytics. And it's the way Teradata transforms how businesses work and people live through the power of data throughout the world. Join us and help create the era of Pervasive Data Intelligence. Location_formattedLocationLong: Islamabad, Islamabad PK"
Software Engineer,Islamabad,FAST NU,None,Organic,"Produce top quality code, by strictly following industry best practices and coding.
Resolve complex design problems.
Minimize errors, fix reported issues ensuring the ripples are analyzed and handled properly.
Execute white box testing and regression tests for components and optimize the runtime behavior of your project actively.
Ensure timely completion of planned tasks with high quality output and enthusiastic approach.
Design and implement testability elements.
Provide technical guidance to junior team members.
Maintain highest level of professionalism, efficiency, teamwork, enthusiasm, discipline, mutual respect and integrity.



Apply Now at Mustakbil.com

This job was originally posted on Mustakbil.com"
